,measurement,timestamp_pulse_id,imageid,separation_um,balance,snr_db,pixis_profile_avg_width,crop_px,xi_um_guess,sigma_x_F_gamma_um_multiplier,xatol,sigma_F_gamma_um_opt_v2,xi_x_um_v2,xi_y_um_v2,chi2distance_deconvmethod_2d_v2
29,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027500,35,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,441.5586730696168,396.4249461584024,47.9894864949801
30,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026060,0,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,490.47574174542297,604.0035325845987,91.30608042845128
31,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027100,27,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,438.7357554769209,300.39788658098644,68.17701630239681
32,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027560,38,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,467.8601021312252,604.0035325847075,239.227827746253
33,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026220,8,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,504.3468379986716,604.0035325845901,153.86906930611426
34,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027140,29,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,443.0911434194337,604.0035325846922,179.28404645197566
35,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026700,20,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,436.15430343009655,1107.823954142396,191.97857994487444
36,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027880,42,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,440.3836238527463,435.5187157098456,244.0630473136368
37,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026080,1,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,406.6045509297145,483.1738714687961,99.3610544253558
38,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026100,2,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,440.2453904017215,952.9379979729932,51.57506319867296
39,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026240,9,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,428.2220215001488,530.7930207301832,115.50631946681432
40,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027080,26,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,416.3039849494005,267.3228604444678,79.011044750874
41,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027000,22,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,503.7812960062904,323.87649333032005,87.44684160743346
42,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027420,31,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,434.66986261579854,383.95653457049866,49.37306504984409
43,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026640,17,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,443.46006138073386,814.6179504513232,417.4227224740009
44,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026580,14,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,438.6687174890348,396.4249461584024,156.79981478093293
45,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027460,33,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,433.0381308852519,814.6179504505012,190.21401601159155
46,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027120,28,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,401.13349025499616,704.7624774001649,148.43115732789346
47,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027900,43,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,405.77915979713777,322.3220291569311,170.09214754463068
48,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026600,15,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,437.4645944439967,530.7930207301823,66.66297656804404
49,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026680,19,322.0,1.0,,200.0,50.0,400.0,1.2,5.0,,429.3165115988751,814.6179504441875,92.41500566508104
50,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040339,50,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,449.7509340819212,281.26632714252486,637.7831444526217
51,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038999,21,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,454.0725020285631,602.4182956997661,135.62037586904324
