,measurement,timestamp_pulse_id,imageid,separation_um,pixis_profile_avg_width,crop_px,shiftx_um,shiftx_um_range_0,shiftx_um_range_1,shiftx_um_do_fit,wavelength_nm,wavelength_nm_range_0,wavelength_nm_range_1,wavelength_nm_do_fit,z_mm,z_mm_range_0,z_mm_range_1,z_mm_do_fit,d_um,d_um_range_0,d_um_range_1,d_um_do_fit,gamma,gamma_range_0,gamma_range_1,gamma_do_fit,w1_um,w1_um_range_0,w1_um_range_1,w1_um_do_fit,w2_um,w2_um_range_0,w2_um_range_1,w2_um_do_fit,I_Airy1,I_Airy1_range_0,I_Airy1_range_1,I_Airy1_do_fit,I_Airy2,I_Airy2_range_0,I_Airy2_range_1,I_Airy2_do_fit,x1_um,x1_um_range_0,x1_um_range_1,x1_um_do_fit,x2_um,x2_um_range_0,x2_um_range_1,x2_um_do_fit,normfactor,normfactor_range_0,normfactor_range_1,normfactor_do_fit,mod_sigma_um,mod_sigma_um_range_0,mod_sigma_um_range_1,mod_sigma_um_do_fit,mod_shiftx_um,mod_shiftx_um_range_0,mod_shiftx_um_range_1,mod_shiftx_um_do_fit,shiftx_um_fit_v1,wavelength_nm_fit_v1,z_mm_fit_v1,d_um_fit_v1,d_um_at_detector_v1,gamma_fit_v1,w1_um_fit_v1,w2_um_fit_v1,I_Airy1_fit_v1,I_Airy2_fit_v1,x1_um_fit_v1,x2_um_fit_v1,chi2distance_fitting_v1,xi_um_fit_v1
919,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545617542,12,707.0,200.0,,1209.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,1200.705312548425,13.441775580708464,,,8038.09893552938,0.5059530414895405,11.647751970785777,10.364905801944808,1.0,1.6192466662467848,-4449.691883795844,3588.407051733537,1.0985751628922231,605.6637518697928
920,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545617922,17,707.0,200.0,,455.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,452.2225984410709,13.430868124921382,,,8040.204700404995,0.6815052674144995,11.704425160715608,10.822621335350275,1.0,1.0056573549497394,-3633.445411062264,4406.759289342731,1.1517727042876116,807.3266882674728
921,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545617962,19,707.0,200.0,,-403.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,-414.5056356620794,13.4,,,7357.212348100925,0.7124167606346862,12.128073011928848,11.754437513892135,1.0,0.9060815024636708,-2822.212348109294,4534.999999991631,1.1884145226653478,858.5103107541707
922,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545618342,24,707.0,200.0,,-741.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,-748.3766639780863,13.422485771191043,,,7017.432909267498,0.584001776759337,12.259764337462968,12.572760815152357,1.0,0.7159267580772999,-2482.432909345062,4534.999999922436,2.271605212048206,681.6686532708792
923,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545617082,3,707.0,200.0,,-104.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,-109.16211128386884,13.413518711029852,,,7759.317110390268,0.7123040748615007,11.72440061557804,10.887426320006226,1.0,1.005926774440625,-3224.317110411633,4534.999999978634,0.9422134027005262,858.3101333227293
924,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545617982,20,707.0,200.0,,767.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,762.8190212395416,13.450458508734856,,,8046.263642688536,0.4608689761924327,11.44818148009498,10.429206975566558,1.0,1.7457741998967875,-4059.864616227744,3986.399026460793,0.7354017060965928,568.0074579665553
925,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545618522,30,707.0,200.0,,0.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,0.3177523366000514,13.414323909580764,,,7784.947011450053,0.3003319926551827,12.267752049230102,10.767199541383306,1.0,1.7953801625953256,-3249.947025074276,4534.999986375777,1.2977510728862094,455.8223875175108
926,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545616982,0,707.0,200.0,,0.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,4.82175570648883,13.4116250437766,,,7846.888202092062,0.4935489671030927,11.907780801255864,10.413403015460416,1.0,1.390359966087015,-3311.888203476872,4534.99999861519,0.4253729814477165,594.9234669728131
927,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545617902,16,707.0,200.0,,0.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,1.5045063341574405,13.411437335192128,,,7686.377185647992,0.3834218968649081,11.756553787283485,11.878237478544175,1.0,1.0663703539661475,-3151.377185655808,4534.999999992184,0.9373906071649284,510.6006028263283
928,2017-11-24T2020 13.5nm 68uJ 7Und. KOAS=1.5mm 0707um (1d) ap5=7.0 ap7=50.0 2017-11-24T1309 13.5nm 68uJ 7Und. KOAS=PMMA (bg1c),1545617462,8,707.0,200.0,,0.0,-1500.0,1500.0,True,13.5,13.4,13.6,True,5781.0,5770.0,5790.0,False,707.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-3535.0,-4535.0,0.0,True,3535.0,0.0,4535.0,True,1.0,0.1,1.5,False,,,,,,,,,-5.152979999693571,13.433324072505124,,,7709.235999539553,0.4630034412301704,11.83685218887576,11.557149658625892,1.0,0.8432736046099909,-3174.235999543413,4534.999999996139,1.160459633925937,569.7091436340238
